title,rate,cuisine,location,address,street,price_from,price_till,url
Fashion E Pasta,4.02,['Italia'],Dago Atas,,"Jl. Bukit Pakar Timur No. 112, Dago Atas, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/fashion-e-pasta-dago-atas
Pecah Kopi,4.04,['Kafe'],Cigadung,Rumah Batik Komar,"Jl. Cigadung Raya Timur I No. 5, Cigadung, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/pecah-kopi-cigadung
Cici Claypot,3.87,['China'],Riau,,"Jl. Anggrek No. 43, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/cici-claypot-riau
Pago Restaurant - The Papandayan Hotel,4.05,"['Indonesia', 'Barat']",Gatot Subroto,"The Papandayan Hotel, Lantai 1","Jl. Gatot Subroto No. 83, Gatot Subroto, Bandung",Rp. 200.000,,https://pergikuliner.com/restaurants/bandung/pago-restaurant-the-papandayan-hotel-gatot-subroto
Imah Djoglo,4.23,['Indonesia'],Sumber Sari,,"Jl. Sumber Endah No. 23, Sumber Sari, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/imah-djoglo-sumber-sari
Rodem Cafe,4.60,['Kafe'],Kota Baru Parahyangan,,"Jl. Kampung, Kota Baru Parahyangan, Bandung",Rp. 100.000,Rp. 200.000,https://pergikuliner.com/restaurants/bandung/rodem-cafe-kota-baru-parahyangan
Greens and Beans,4.00,['Kafe'],Trunojoyo,,"Jl. Bahureksa No. 9, Trunojoyo, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/greens-and-beans-trunojoyo
Baso Mawar Merona,4.01,['Indonesia'],Cihampelas,,"Jl. Cihampelas No. 36, Cihampelas, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/baso-mawar-merona-cihampelas
Farel Patisserie Cafe,4.04,['Kafe'],Buah Batu,,"Jl. Terusan Buah Batu No. 259, Buah Batu, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/farel-patisserie-cafe-buah-batu
Jurnal Risa Coffee,4.01,['Kafe'],Dago Bawah,,"Jl. Sumur Bandung No. 14, Dago Bawah, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/jurnal-risa-coffee-dago-bawah
Tom Sushi,4.12,['Jepang'],Sukajadi,"Paris Van Java, Lantai Lower Ground (Concourse Level)","Jl. Sukajadi No. 137 - 139, Sukajadi, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/tom-sushi-sukajadi
Kaybun Dimsum,4.02,['China'],Aceh,Graha Manggala,"Jl. Aceh No. 66, Aceh, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/kaybun-dimsum-aceh
Banyu Minuman,4.12,['Minuman'],Banda,,"Jl. Banda No. 1S, Banda, Riau, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/banyu-minuman-banda
Terminale Gelato & Coffee Express,3.91,['Es Krim'],Dago Bawah,"Living Plaza Dago, Lantai Upper Ground","Jl. Ir. H. Juanda No. 61 - 63, Dago Bawah, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/terminale-gelato-dan-coffee-express-dago-bawah
Let's Go Gelato,3.90,['Es Krim'],Cihampelas,"Cihampelas Walk, Lantai 1, Skywalk","Jl. Cihampelas No. 160, Cihampelas, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/let-s-go-gelato-cihampelas
Buttercup Signature Boulangerie - Hotel Four Points by Sheraton,3.99,['Kafe'],Dago Bawah,"Hotel Four Points by Sheraton, Lantai Lobby","Jl. Ir. H. Juanda No. 46, Dago Bawah, Bandung",Rp. 50.000,Rp. 100.000,https://pergikuliner.com/restaurants/bandung/buttercup-signature-boulangerie-hotel-four-points-by-sheraton-dago-bawah
Drunk Baker,3.98,['Toko Roti'],Trunojoyo,,"Jl. Bahureksa No. 24, Trunojoyo, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/drunk-baker-trunojoyo
Lelebo,3.96,['Indonesia'],Gardujati,,"Jl. Gardujati No. 52, Gardujati, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/lelebo-gardujati
Nasi Kuning Pungkur,3.98,['Indonesia'],Pungkur,,"Jl. Pungkur No. 216, Pungkur, Bandung",Rp. 0,Rp. 50.000,https://pergikuliner.com/restaurants/bandung/nasi-kuning-pungkur-pungkur
